Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio1 contribution,bio12 contribution,bio15 contribution,bio16 contribution,bio18 contribution,bio2 contribution,bio3 contribution,bio4 contribution,bio5 contribution,bio6 contribution,bio1 permutation importance,bio12 permutation importance,bio15 permutation importance,bio16 permutation importance,bio18 permutation importance,bio2 permutation importance,bio3 permutation importance,bio4 permutation importance,bio5 permutation importance,bio6 permutation importance,Training gain without bio1,Training gain without bio12,Training gain without bio15,Training gain without bio16,Training gain without bio18,Training gain without bio2,Training gain without bio3,Training gain without bio4,Training gain without bio5,Training gain without bio6,Training gain with only bio1,Training gain with only bio12,Training gain with only bio15,Training gain with only bio16,Training gain with only bio18,Training gain with only bio2,Training gain with only bio3,Training gain with only bio4,Training gain with only bio5,Training gain with only bio6,Test gain without bio1,Test gain without bio12,Test gain without bio15,Test gain without bio16,Test gain without bio18,Test gain without bio2,Test gain without bio3,Test gain without bio4,Test gain without bio5,Test gain without bio6,Test gain with only bio1,Test gain with only bio12,Test gain with only bio15,Test gain with only bio16,Test gain with only bio18,Test gain with only bio2,Test gain with only bio3,Test gain with only bio4,Test gain with only bio5,Test gain with only bio6,AUC without bio1,AUC without bio12,AUC without bio15,AUC without bio16,AUC without bio18,AUC without bio2,AUC without bio3,AUC without bio4,AUC without bio5,AUC without bio6,AUC with only bio1,AUC with only bio12,AUC with only bio15,AUC with only bio16,AUC with only bio18,AUC with only bio2,AUC with only bio3,AUC with only bio4,AUC with only bio5,AUC with only bio6,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Artalt_0,89,0.9843,1.2358,500,0.8822,10,1.1835,0.8629,0.0548,10080,10.0438,0.1067,2.4808,0.2259,0.0085,10.2920,4.3762,15.3493,52.7948,4.3221,29.8106,0.0752,0.8468,0.1471,0.0051,36.4699,3.6158,11.7170,8.9812,8.3313,0.8755,0.9840,0.9670,0.9834,0.9842,0.9317,0.9394,0.9575,0.9814,0.9617,0.1827,0.2126,0.4978,0.0011,0.3068,0.5446,0.3159,0.6408,0.6652,0.2559,1.0170,1.1917,1.1613,1.1790,1.1785,1.1300,1.1604,1.0494,1.1949,1.2235,0.3758,0.4188,0.5180,-0.0120,0.3480,0.4958,0.3784,0.7238,0.6365,0.3314,0.8439,0.8641,0.8688,0.8636,0.8617,0.8650,0.8680,0.8537,0.8626,0.8609,0.7146,0.7658,0.7770,0.4557,0.7281,0.7590,0.7425,0.8123,0.7767,0.7239,8.2344,0.2240,1.0000,0.0709,0.5414,0.0112,0.0000,2.162E-3,5.0000,0.1800,0.4306,0.0337,0.1000,3.114E-3,10.0000,0.2608,0.3550,0.0787,0.2000,5.328E-3,0.9444,0.0680,0.5443,0.0000,0.0000,2.284E-3,10.6600,0.2695,0.3469,0.0899,0.2000,4.528E-3,24.9649,0.4397,0.2226,0.2247,0.3000,1.702E-3,33.9102,0.5153,0.1708,0.2472,0.3000,3.14E-4,15.0617,0.3233,0.3000,0.1461,0.3000,1.059E-2,62.0304,0.7328,0.0625,0.5056,0.3000,3.777E-7,0.9444,0.0680,0.5443,0.0000,0.0000,2.284E-3,8.5422,0.2411,0.3738,0.0787,0.2000,7.673E-3
Artalt_1,89,0.9347,1.1673,500,0.8772,10,1.6722,0.9496,0.0232,10081,11.1990,0.2462,2.6344,0.0556,0.3023,10.1467,4.3373,9.9278,56.7746,4.3761,30.9176,0.1122,0.0000,0.0922,0.3344,36.6026,2.0520,23.7944,1.9153,4.1793,0.8255,0.9345,0.9261,0.9340,0.9331,0.8814,0.8995,0.9056,0.9327,0.9274,0.2254,0.2192,0.4791,0.0009,0.2870,0.5217,0.3037,0.5940,0.6363,0.2418,1.4737,1.6788,1.6009,1.6658,1.6830,1.6144,1.5635,1.5429,1.6643,1.5422,0.0139,0.3640,0.6379,-0.0068,0.5261,0.7065,0.4767,1.1179,0.8868,0.4934,0.9347,0.9508,0.9455,0.9498,0.9525,0.9473,0.9379,0.9388,0.9490,0.9402,0.6032,0.7378,0.8206,0.4738,0.7738,0.8145,0.7826,0.9004,0.8631,0.7719,8.2844,0.2356,1.0000,0.0729,0.5522,0.0000,0.0000,2.637E-3,5.0000,0.1915,0.4425,0.0337,0.0000,2.879E-4,10.0000,0.2686,0.3678,0.0787,0.0000,4.533E-5,1.7913,0.1087,0.5198,0.0000,0.0000,1.44E-3,11.9072,0.2931,0.3450,0.0899,0.0000,2.389E-5,26.0345,0.4491,0.2247,0.2247,0.0000,3.278E-7,11.0753,0.2819,0.3547,0.0787,0.0000,3.155E-5,31.1968,0.4991,0.1930,0.2472,0.2000,5.957E-5,29.9382,0.4874,0.2003,0.2472,0.0000,1.038E-7,1.7913,0.1087,0.5198,0.0000,0.0000,1.44E-3,8.1159,0.2429,0.3929,0.0449,0.0000,8.77E-5
Artalt_2,89,1.0122,1.2680,500,0.8833,10,0.9331,0.8349,0.0462,10081,10.6004,0.3674,3.1008,0.2772,0.0202,7.3624,3.8892,19.7743,49.3921,5.2159,32.8610,0.0146,0.0550,0.0000,0.0188,32.0063,1.6986,25.2587,1.3538,6.7333,0.9035,1.0124,0.9961,1.0106,1.0122,0.9725,0.9710,0.9738,1.0101,0.9934,0.1908,0.2344,0.5267,0.0005,0.3181,0.5216,0.3316,0.6828,0.6706,0.2746,0.7799,0.9348,0.9144,0.9304,0.9336,0.7756,0.8685,0.8863,0.9202,0.9294,0.2956,0.2329,0.2259,-0.0017,0.2619,0.6941,0.2414,0.3243,0.5839,0.1303,0.8047,0.8351,0.8315,0.8348,0.8352,0.8132,0.8290,0.8291,0.8345,0.8292,0.6914,0.6803,0.6638,0.4966,0.6771,0.8140,0.7108,0.7254,0.7663,0.6210,8.2078,0.2174,1.0000,0.0625,0.5439,0.0000,0.0000,2.265E-3,5.0000,0.1725,0.4272,0.0449,0.1000,2.919E-3,10.0000,0.2539,0.3507,0.0899,0.1000,5.486E-4,1.4319,0.0803,0.5229,0.0000,0.0000,1.527E-3,10.1018,0.2555,0.3495,0.0899,0.1000,5.329E-4,25.7180,0.4305,0.2135,0.2135,0.4000,8.912E-3,23.6672,0.4104,0.2271,0.1910,0.4000,1.22E-2,14.6711,0.3160,0.3000,0.1685,0.3000,1.059E-2,4.8324,0.1691,0.4304,0.0449,0.0000,2.182E-4,1.4319,0.0803,0.5229,0.0000,0.0000,1.527E-3,8.9716,0.2387,0.3640,0.0787,0.1000,7.534E-4
Artalt_3,89,0.9826,1.2337,500,0.8849,10,1.2083,0.8627,0.0559,10081,10.8876,0.0000,7.8837,0.2365,0.3346,11.0287,4.8542,12.6978,49.1701,2.9067,29.4566,0.0000,0.2778,0.0878,8.8077,35.3043,2.8597,16.0122,0.3519,6.8419,0.8785,0.9826,0.9658,0.9820,0.9769,0.9284,0.9372,0.9498,0.9802,0.9685,0.2132,0.2221,0.5291,0.0019,0.3690,0.5297,0.3277,0.6218,0.6551,0.2437,0.9297,1.2083,1.1913,1.1984,1.3317,1.1605,1.1840,1.0887,1.2024,1.1140,0.1290,0.3241,0.2241,-0.0196,-0.2541,0.6309,0.2508,0.8951,0.7251,0.4492,0.8406,0.8627,0.8578,0.8623,0.8771,0.8565,0.8689,0.8554,0.8622,0.8591,0.6586,0.7222,0.7204,0.4217,0.6280,0.7915,0.7273,0.8334,0.8089,0.7979,8.2350,0.2239,1.0000,0.0770,0.5398,0.0000,0.1000,2.002E-2,5.0000,0.1805,0.4331,0.0337,0.1000,3.271E-3,10.0000,0.2572,0.3572,0.0787,0.1000,6.424E-4,1.3272,0.0913,0.5258,0.0000,0.1000,1.619E-2,10.3280,0.2610,0.3531,0.0899,0.1000,5.827E-4,25.8507,0.4407,0.2157,0.2135,0.3000,1.394E-3,24.3941,0.4240,0.2253,0.1798,0.2000,1.911E-4,25.3432,0.4344,0.2189,0.2022,0.2000,1.541E-4,13.3267,0.2982,0.3188,0.1011,0.1000,2.427E-4,1.3272,0.0913,0.5258,0.0000,0.1000,1.619E-2,8.7267,0.2381,0.3740,0.0562,0.1000,9.491E-4
Artalt_4,89,1.0080,1.2865,500,0.8866,10,0.9462,0.8596,0.0405,10081,11.4494,0.4320,3.4426,0.2593,0.3213,10.2994,2.9175,16.2170,51.4087,3.2527,32.5078,0.0786,2.1625,0.0000,0.4204,35.4459,3.7571,12.7571,4.9843,7.8863,0.8934,1.0078,0.9924,1.0075,1.0062,0.9544,0.9631,0.9615,1.0065,0.9900,0.1884,0.2317,0.5020,0.0005,0.2847,0.5450,0.2774,0.6486,0.6626,0.2674,0.8360,0.9521,0.9369,0.9350,0.9878,0.8926,0.9060,1.0008,0.9528,0.9209,0.3270,0.2532,0.4758,-0.0022,0.5457,0.4736,0.7105,0.6353,0.6623,0.2095,0.8216,0.8605,0.8629,0.8578,0.8662,0.8473,0.8551,0.8657,0.8609,0.8561,0.6748,0.6876,0.7643,0.4991,0.7828,0.7605,0.8599,0.8189,0.7869,0.6585,8.2113,0.2184,1.0000,0.0678,0.5452,0.0000,0.0000,2.32E-3,5.0000,0.1752,0.4310,0.0337,0.0000,2.212E-4,10.0000,0.2498,0.3541,0.0899,0.1000,5.968E-4,1.3935,0.0825,0.5267,0.0000,0.0000,1.644E-3,10.6731,0.2601,0.3458,0.0899,0.1000,4.87E-4,26.0454,0.4355,0.2126,0.2135,0.2000,1.235E-4,14.0097,0.3012,0.3088,0.1011,0.2000,1.962E-3,28.0677,0.4520,0.2000,0.2135,0.2000,7.787E-5,30.5528,0.4745,0.1853,0.2584,0.2000,4.366E-5,1.3935,0.0825,0.5267,0.0000,0.0000,1.644E-3,9.1474,0.2375,0.3652,0.0899,0.1000,7.765E-4
Artalt_5,89,1.0191,1.2730,500,0.8846,10,0.7918,0.8203,0.0509,10081,11.7618,0.0633,1.6293,1.3127,0.3513,13.8672,2.6008,18.1843,47.0796,3.1496,30.4943,0.2759,0.0000,0.2072,0.3909,43.3604,1.6372,16.0659,0.0000,7.5683,0.8986,1.0189,1.0042,1.0161,1.0171,0.9538,0.9841,0.9859,1.0180,0.9996,0.1930,0.2481,0.4842,0.0002,0.3574,0.5600,0.3040,0.6464,0.6588,0.2890,0.7399,0.7979,0.7664,0.8025,0.8421,0.8925,0.7096,0.7112,0.7855,0.8073,0.2921,0.0970,0.6273,-0.0129,-0.1428,0.3380,0.4494,0.6750,0.6938,0.0520,0.8150,0.8217,0.8179,0.8244,0.8265,0.8397,0.8051,0.8081,0.8191,0.8274,0.6520,0.6676,0.7750,0.3945,0.5707,0.7237,0.7771,0.8044,0.7796,0.6114,8.1992,0.2153,1.0000,0.0644,0.5436,0.0000,0.0000,2.253E-3,5.0000,0.1726,0.4269,0.0337,0.1000,2.902E-3,10.0000,0.2472,0.3496,0.0899,0.3000,2.584E-2,1.2329,0.0743,0.5320,0.0000,0.0000,1.816E-3,10.3483,0.2510,0.3452,0.0899,0.3000,2.405E-2,24.3453,0.4126,0.2188,0.2135,0.4000,1.011E-2,20.8781,0.3773,0.2437,0.1685,0.4000,1.74E-2,14.4047,0.3030,0.3000,0.1461,0.3000,1.059E-2,4.2720,0.1575,0.4415,0.0337,0.0000,2.815E-4,1.2329,0.0743,0.5320,0.0000,0.0000,1.816E-3,9.1373,0.2347,0.3609,0.0899,0.2000,5.988E-3
Artalt_6,89,1.0355,1.3271,500,0.8891,10,0.6922,0.8262,0.0588,10081,8.8288,0.3390,1.6755,0.3784,0.1327,12.7819,4.0052,15.3514,53.7799,2.7271,27.6055,0.0000,0.4001,0.3551,0.2156,34.6644,1.7495,23.5372,6.4186,5.0540,0.9346,1.0358,1.0192,1.0335,1.0349,0.9697,0.9978,0.9973,1.0322,1.0185,0.1803,0.2527,0.4936,0.0000,0.2987,0.5813,0.3297,0.6809,0.6795,0.2631,0.4622,0.6952,0.6749,0.7067,0.6983,0.7818,0.6126,0.6592,0.7040,0.6670,0.3836,0.0682,0.5397,0.0000,0.4213,0.1417,0.2413,0.3637,0.4994,0.2654,0.7932,0.8265,0.8211,0.8282,0.8271,0.8213,0.8191,0.8272,0.8275,0.8230,0.7527,0.6165,0.7859,0.5000,0.7187,0.6446,0.6820,0.7626,0.7736,0.7137,8.1838,0.2129,1.0000,0.0701,0.5221,0.0000,0.1000,1.527E-2,5.0000,0.1781,0.4165,0.0225,0.2000,1.624E-2,10.0000,0.2597,0.3450,0.0899,0.2000,4.353E-3,1.4296,0.0878,0.5035,0.0000,0.2000,5.721E-2,12.2823,0.2870,0.3196,0.0899,0.2000,2.516E-3,23.7255,0.4080,0.2247,0.2247,0.2000,1.873E-4,12.2823,0.2870,0.3196,0.0899,0.2000,2.516E-3,27.5969,0.4455,0.2000,0.2360,0.2000,7.787E-5,29.6712,0.4614,0.1878,0.2472,0.2000,4.83E-5,1.4296,0.0878,0.5035,0.0000,0.2000,5.721E-2,9.1493,0.2485,0.3553,0.0674,0.2000,5.366E-3
Artalt_7,89,1.0040,1.2529,500,0.8829,10,1.0258,0.8613,0.0348,10082,12.8383,0.3094,3.5840,0.9047,0.1686,7.0924,2.3737,20.2000,49.9877,2.5411,30.9699,0.2411,0.8454,0.0000,0.5198,32.0836,1.7339,27.6221,0.3694,5.6148,0.8865,1.0033,0.9864,1.0032,1.0028,0.9550,0.9718,0.9545,1.0028,0.9924,0.2218,0.2396,0.4997,0.0003,0.3078,0.5216,0.3145,0.6637,0.6372,0.2359,0.9241,1.0486,1.0243,1.0217,1.0348,0.9305,0.8979,1.1232,1.0160,0.9626,0.0467,0.1849,0.4965,-0.0009,0.3599,0.6967,0.3860,0.5260,0.8731,0.5268,0.8331,0.8637,0.8647,0.8607,0.8623,0.8501,0.8485,0.8681,0.8589,0.8539,0.6172,0.6800,0.8115,0.5171,0.6978,0.8259,0.7634,0.7773,0.8501,0.7970,8.2163,0.2191,1.0000,0.0674,0.5486,0.0000,0.0000,2.469E-3,5.0000,0.1753,0.4363,0.0337,0.0000,2.501E-4,10.0000,0.2469,0.3589,0.0787,0.0000,3.542E-5,1.3721,0.0842,0.5313,0.0000,0.0000,1.794E-3,11.7767,0.2708,0.3371,0.0899,0.0000,1.897E-5,24.2472,0.4070,0.2248,0.2247,0.2000,1.878E-4,11.2145,0.2632,0.3438,0.0787,0.0000,2.306E-5,25.5874,0.4218,0.2155,0.2247,0.2000,1.371E-4,12.9995,0.2853,0.3233,0.1236,0.0000,1.249E-5,1.3721,0.0842,0.5313,0.0000,0.0000,1.794E-3,9.3880,0.2388,0.3670,0.0787,0.0000,4.431E-5
Artalt_8,89,1.0335,1.2932,500,0.8854,10,0.7001,0.8229,0.0450,10081,12.7576,0.9909,1.3539,0.6100,0.0204,7.2268,2.6394,20.4056,51.1006,2.8948,30.2810,0.0000,0.4612,0.0000,0.2325,31.7059,2.0907,23.1835,7.8146,4.2306,0.9109,1.0333,1.0215,1.0286,1.0333,0.9842,0.9984,0.9912,1.0301,1.0227,0.2271,0.2553,0.4846,0.0000,0.3009,0.5317,0.3701,0.6705,0.6554,0.2315,0.6755,0.7012,0.6349,0.7304,0.6972,0.6291,0.6083,0.7458,0.7071,0.6465,-0.0086,0.0315,0.6271,0.0000,0.4079,0.5912,-0.1181,0.4449,0.7129,0.5678,0.8193,0.8227,0.8139,0.8263,0.8221,0.8092,0.8109,0.8246,0.8231,0.8144,0.6108,0.5948,0.8115,0.5000,0.6988,0.7943,0.5640,0.7680,0.8375,0.8090,8.1859,0.2127,1.0000,0.0670,0.5400,0.0000,0.0000,2.109E-3,5.0000,0.1718,0.4284,0.0225,0.1000,2.988E-3,10.0000,0.2458,0.3516,0.0562,0.1000,5.607E-4,1.0880,0.0706,0.5357,0.0000,0.0000,1.945E-3,11.8873,0.2695,0.3289,0.0899,0.1000,3.174E-4,23.6984,0.4027,0.2247,0.2247,0.3000,1.804E-3,10.9187,0.2559,0.3402,0.0562,0.1000,4.24E-4,14.6159,0.3016,0.3000,0.1461,0.3000,1.059E-2,12.4155,0.2753,0.3230,0.1236,0.1000,2.713E-4,1.0880,0.0706,0.5357,0.0000,0.0000,1.945E-3,9.6536,0.2410,0.3560,0.0562,0.1000,6.244E-4
Artalt_9,90,0.9914,1.2658,500,0.8838,9,1.1559,0.8706,0.0514,10081,12.0908,0.1377,2.3345,0.0775,0.0870,6.9666,3.7774,15.3637,54.8472,4.3176,38.2386,0.0285,0.5073,0.0000,0.1243,29.9397,4.3274,16.0803,5.6905,5.0633,0.8791,0.9913,0.9625,0.9908,0.9914,0.9565,0.9452,0.9524,0.9853,0.9748,0.2014,0.2068,0.4803,0.0012,0.2875,0.5141,0.2860,0.6241,0.6604,0.2801,1.0451,1.1573,1.2601,1.1461,1.1540,0.9267,1.1237,1.1204,1.1974,1.1379,0.2024,0.4823,0.6630,-0.0118,0.5450,0.7612,0.6984,0.8963,0.6484,0.1041,0.8353,0.8704,0.8885,0.8697,0.8702,0.8477,0.8784,0.8657,0.8745,0.8657,0.5971,0.8173,0.7840,0.4378,0.7906,0.8407,0.8482,0.8646,0.7781,0.6410,8.2262,0.2222,1.0000,0.0686,0.5438,0.0000,0.0000,4.158E-3,5.0000,0.1788,0.4334,0.0444,0.0000,5.394E-4,10.0000,0.2589,0.3585,0.1000,0.2222,1.295E-2,1.0627,0.0713,0.5405,0.0000,0.0000,3.938E-3,11.3057,0.2762,0.3428,0.1000,0.2222,9.847E-3,25.2705,0.4270,0.2222,0.2222,0.2222,6.254E-4,34.3268,0.5112,0.1688,0.2333,0.2222,1.023E-4,25.2705,0.4270,0.2222,0.2222,0.2222,6.254E-4,42.9288,0.5761,0.1281,0.3111,0.2222,1.604E-5,1.0627,0.0713,0.5405,0.0000,0.0000,3.938E-3,9.0473,0.2454,0.3707,0.1000,0.2222,1.587E-2
Artalt (average),89.1000,1.0005,1.2603,500.0000,0.8840,9.9000,1.0309,0.8571,0.0462,10081.0000,11.2457,0.2993,3.0119,0.4338,0.1747,9.7064,3.5771,16.3471,51.6335,3.5704,31.3143,0.0826,0.5556,0.0889,1.1070,34.7583,2.5522,19.6028,3.7880,6.1503,0.8886,1.0004,0.9841,0.9990,0.9992,0.9488,0.9607,0.9629,0.9979,0.9849,0.2024,0.2322,0.4977,0.0007,0.3118,0.5371,0.3161,0.6474,0.6581,0.2583,0.8883,1.0366,1.0165,1.0316,1.0541,0.9734,0.9634,0.9928,1.0345,0.9951,0.2058,0.2457,0.5035,-0.0068,0.3019,0.5530,0.3715,0.6602,0.6922,0.3130,0.8341,0.8578,0.8573,0.8578,0.8601,0.8497,0.8521,0.8536,0.8572,0.8530,0.6572,0.6970,0.7714,0.4696,0.7066,0.7769,0.7458,0.8067,0.8021,0.7145,8.2184,0.2202,1.0000,0.0689,0.5421,0.0011,0.0200,0.0056,5.0000,0.1776,0.4306,0.0336,0.0700,0.0033,10.0000,0.2549,0.3548,0.0831,0.1322,0.0051,1.3074,0.0819,0.5282,0.0000,0.0300,0.0090,11.1270,0.2694,0.3414,0.0909,0.1322,0.0043,24.9900,0.4253,0.2204,0.2200,0.2522,0.0025,19.6677,0.3627,0.2703,0.1424,0.2022,0.0035,22.1816,0.3924,0.2450,0.1953,0.2422,0.0043,24.2967,0.3918,0.2601,0.1996,0.1122,0.0001,1.3074,0.0819,0.5282,0.0000,0.0300,0.0090,8.9879,0.2407,0.3680,0.0741,0.1222,0.0038
