Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio1 contribution,bio15 contribution,bio16 contribution,bio2 contribution,bio3 contribution,bio4 contribution,bio5 contribution,bio6 contribution,bio1 permutation importance,bio15 permutation importance,bio16 permutation importance,bio2 permutation importance,bio3 permutation importance,bio4 permutation importance,bio5 permutation importance,bio6 permutation importance,Training gain without bio1,Training gain without bio15,Training gain without bio16,Training gain without bio2,Training gain without bio3,Training gain without bio4,Training gain without bio5,Training gain without bio6,Training gain with only bio1,Training gain with only bio15,Training gain with only bio16,Training gain with only bio2,Training gain with only bio3,Training gain with only bio4,Training gain with only bio5,Training gain with only bio6,Test gain without bio1,Test gain without bio15,Test gain without bio16,Test gain without bio2,Test gain without bio3,Test gain without bio4,Test gain without bio5,Test gain without bio6,Test gain with only bio1,Test gain with only bio15,Test gain with only bio16,Test gain with only bio2,Test gain with only bio3,Test gain with only bio4,Test gain with only bio5,Test gain with only bio6,AUC without bio1,AUC without bio15,AUC without bio16,AUC without bio2,AUC without bio3,AUC without bio4,AUC without bio5,AUC without bio6,AUC with only bio1,AUC with only bio15,AUC with only bio16,AUC with only bio2,AUC with only bio3,AUC with only bio4,AUC with only bio5,AUC with only bio6,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Artalt_0,85,0.3512,0.4572,280,0.7129,10,0.1650,0.7183,0.0448,10076,2.9150,13.4881,2.9179,47.9654,7.2868,2.8307,0.0000,22.5960,0.0000,0.0000,0.8231,70.2607,3.0458,1.1839,0.0000,24.6865,0.3512,0.3116,0.3419,0.3363,0.3419,0.3372,0.3512,0.3437,0.1549,0.0540,0.0277,0.2307,0.1395,0.0131,0.0703,0.2200,0.1644,0.1339,0.2097,0.1656,0.2482,0.2602,0.1647,0.1733,0.0593,-0.1771,-0.0369,0.1070,-0.1935,0.0455,0.0239,0.3433,0.7184,0.7038,0.7282,0.7233,0.7234,0.7388,0.7181,0.7233,0.6067,0.4700,0.4895,0.6612,0.5023,0.6254,0.5316,0.7478,8.7688,0.3879,1.0000,0.1158,0.9213,0.0235,0.0000,4.406E-1,5.0000,0.1885,0.7695,0.0588,0.0000,7.275E-2,10.0000,0.2540,0.6416,0.1059,0.0000,1.183E-2,0.2841,0.0772,0.9647,0.0000,0.0000,6.979E-1,9.7451,0.2515,0.6472,0.0941,0.0000,1.289E-2,30.9055,0.4605,0.3294,0.3294,0.3000,1.835E-2,33.5946,0.4872,0.3027,0.3294,0.3000,1.117E-2,33.8760,0.4896,0.3000,0.3529,0.3000,1.06E-2,29.8359,0.4489,0.3406,0.2941,0.2000,3.973E-3,0.2841,0.0772,0.9647,0.0000,0.0000,6.979E-1,10.1637,0.2561,0.6382,0.1059,0.0000,1.12E-2
Artalt_1,85,0.3467,0.4476,300,0.6969,10,0.2119,0.7046,0.0696,10076,3.2143,22.6346,1.8977,28.5862,4.5250,1.4295,0.0000,37.7127,0.0000,0.0000,0.0893,52.3888,4.3744,0.7308,0.0000,42.4167,0.3467,0.2846,0.3411,0.3343,0.3415,0.3366,0.3467,0.3404,0.1710,0.0827,0.0212,0.1913,0.1112,0.0092,0.0879,0.2200,0.2144,0.3951,0.2142,0.1561,0.2356,0.2733,0.2108,0.2527,-0.0528,-0.4593,0.0229,0.4590,0.0819,0.0755,-0.2400,0.3565,0.7055,0.7445,0.7027,0.6730,0.7020,0.7219,0.7035,0.7195,0.5422,0.3835,0.5328,0.7623,0.5946,0.6759,0.3747,0.7404,8.8219,0.4102,1.0000,0.1194,0.9145,0.0235,0.0000,4.089E-1,5.0000,0.2156,0.7682,0.0824,0.0000,7.154E-2,10.0000,0.2828,0.6514,0.0941,0.1000,8.742E-2,0.1874,0.0612,0.9714,0.0000,0.0000,7.483E-1,10.1937,0.2847,0.6476,0.0941,0.1000,8.355E-2,31.7531,0.4856,0.3412,0.3412,0.3000,2.25E-2,38.3077,0.5387,0.2797,0.4000,0.4000,3.401E-2,36.0377,0.5206,0.3000,0.4000,0.3000,1.06E-2,37.0968,0.5291,0.2904,0.4000,0.3000,8.721E-3,0.1874,0.0612,0.9714,0.0000,0.0000,7.483E-1,8.9645,0.2709,0.6730,0.0941,0.1000,1.117E-1
Artalt_2,85,0.3929,0.4835,300,0.7300,10,-0.1649,0.5701,0.1106,10077,5.1268,21.0095,2.1498,32.1919,4.1084,1.4260,0.0000,33.9876,11.0751,1.6944,0.0000,45.1510,0.8484,1.2782,0.0000,39.9529,0.3919,0.3273,0.3868,0.3799,0.3904,0.3852,0.3929,0.3889,0.1930,0.0900,0.0263,0.2185,0.1263,0.0097,0.1010,0.2559,-0.1888,0.0220,-0.1494,-0.1916,-0.1624,-0.1643,-0.1629,-0.1662,-0.2329,-0.5355,-0.0246,0.2224,-0.0642,0.0853,-0.3854,0.0208,0.5583,0.6284,0.5719,0.5555,0.5679,0.5839,0.5696,0.5760,0.5361,0.3678,0.4712,0.6528,0.5237,0.6404,0.3766,0.6630,8.7787,0.3906,1.0000,0.1093,0.8996,0.0235,0.0000,3.47E-1,5.0000,0.1886,0.7422,0.0471,0.3000,7.573E-1,10.0000,0.2673,0.6176,0.0824,0.4000,6.766E-1,0.1680,0.0493,0.9652,0.0000,0.0000,7.015E-1,11.6409,0.2898,0.5853,0.0941,0.4000,5.958E-1,32.9831,0.5050,0.3058,0.3059,0.5000,1.605E-1,33.1133,0.5069,0.3046,0.3059,0.5000,1.582E-1,16.7307,0.3462,0.5000,0.1765,0.5000,6.232E-1,55.0968,0.6990,0.1497,0.6235,0.5000,9.803E-3,0.1680,0.0493,0.9652,0.0000,0.0000,7.015E-1,8.7584,0.2502,0.6444,0.0706,0.4000,7.392E-1
Artalt_3,85,0.3569,0.4414,220,0.7197,10,0.2095,0.7061,0.0850,10075,0.0000,17.2105,1.8850,38.5138,3.3499,0.7916,0.0000,38.2493,0.0000,0.0000,1.1863,62.0770,0.7529,0.0000,0.0000,35.9838,0.3569,0.3077,0.3514,0.3439,0.3553,0.3502,0.3569,0.3490,0.1831,0.0650,0.0225,0.2234,0.1137,0.0141,0.0867,0.2462,0.2089,0.2363,0.2112,0.1975,0.1878,0.1994,0.2091,0.2194,-0.1789,-0.2784,0.0114,0.1734,0.0651,0.0597,-0.1661,0.1363,0.7063,0.7053,0.7093,0.7039,0.7006,0.6884,0.7058,0.7094,0.5197,0.4040,0.5139,0.6774,0.5644,0.6121,0.4608,0.6790,8.8300,0.4100,1.0000,0.1172,0.9129,0.0118,0.1000,7.854E-1,5.0000,0.1929,0.7561,0.0588,0.1000,2.581E-1,10.0000,0.2779,0.6278,0.1059,0.1000,6.589E-2,0.4968,0.0924,0.9433,0.0000,0.1000,8.932E-1,9.9326,0.2770,0.6293,0.0941,0.1000,6.71E-2,31.6523,0.5018,0.3294,0.3294,0.2000,3.128E-3,29.9914,0.4858,0.3459,0.2941,0.2000,4.434E-3,35.5825,0.5384,0.2931,0.3882,0.3000,9.22E-3,35.5762,0.5383,0.2931,0.3882,0.2000,1.342E-3,0.4968,0.0924,0.9433,0.0000,0.1000,8.932E-1,7.7652,0.2394,0.6785,0.0824,0.1000,1.187E-1
Artalt_4,85,0.3365,0.4368,200,0.7017,10,0.2768,0.7516,0.0448,10076,0.0000,15.5915,0.2886,41.2771,6.9194,2.5951,0.0000,33.3284,0.0000,0.0000,2.1951,60.6358,4.2407,0.0000,0.0000,32.9284,0.3366,0.2939,0.3279,0.3221,0.3288,0.3259,0.3366,0.3281,0.1607,0.0597,0.0278,0.2029,0.1317,0.0062,0.0782,0.2116,0.2763,0.2995,0.3194,0.2640,0.3350,0.3237,0.2787,0.2681,-0.0291,-0.2707,-0.0378,0.3536,-0.1128,0.0961,-0.1293,0.4204,0.7513,0.7524,0.7610,0.7487,0.7527,0.7615,0.7520,0.7479,0.5731,0.4196,0.5023,0.7393,0.5145,0.6962,0.4416,0.7797,8.7967,0.4002,1.0000,0.1240,0.9209,0.0235,0.0000,4.387E-1,5.0000,0.2071,0.7766,0.0824,0.0000,7.979E-2,10.0000,0.2683,0.6559,0.1059,0.0000,1.474E-2,0.2544,0.0751,0.9667,0.0000,0.0000,7.124E-1,9.4054,0.2616,0.6685,0.0941,0.0000,1.783E-2,31.4636,0.4684,0.3397,0.3412,0.2000,3.899E-3,29.7135,0.4505,0.3583,0.3059,0.2000,5.69E-3,35.4725,0.5038,0.3002,0.3882,0.3000,1.064E-2,27.6822,0.4301,0.3813,0.3059,0.1000,1.119E-3,0.2544,0.0751,0.9667,0.0000,0.0000,7.124E-1,9.9867,0.2680,0.6562,0.1059,0.0000,1.481E-2
Artalt_5,86,0.3797,0.4746,300,0.7123,9,-0.1033,0.6204,0.0620,10078,0.0000,15.8324,2.8770,48.7224,2.0832,0.7422,0.0000,29.7428,0.0000,0.0000,2.3844,64.6778,2.4195,0.0000,0.0000,30.5184,0.3796,0.3258,0.3698,0.3656,0.3765,0.3732,0.3797,0.3736,0.1807,0.0720,0.0280,0.2532,0.1282,0.0243,0.0760,0.2550,-0.1001,0.0393,-0.0440,-0.1113,-0.0996,-0.0947,-0.1032,-0.0870,-0.1737,-0.4699,-0.0423,-0.1445,-0.0876,-0.0502,-0.0176,0.0356,0.6213,0.6492,0.6368,0.6018,0.6147,0.6259,0.6204,0.6277,0.4892,0.3685,0.4731,0.5989,0.5117,0.4874,0.5161,0.6322,8.7820,0.3895,1.0000,0.1118,0.9173,0.0233,0.0000,4.6E-1,5.0000,0.1808,0.7578,0.0698,0.0000,8.24E-2,10.0000,0.2555,0.6237,0.1163,0.1111,9.187E-2,0.2775,0.0700,0.9653,0.0000,0.0000,7.275E-1,8.9630,0.2396,0.6474,0.0930,0.1111,1.178E-1,30.8852,0.4804,0.3194,0.3140,0.6667,5.879E-1,25.1929,0.4152,0.3815,0.2442,0.5556,4.708E-1,23.8184,0.4009,0.3985,0.2442,0.4444,2.634E-1,8.0162,0.2237,0.6705,0.0930,0.0000,2.738E-2,0.2775,0.0700,0.9653,0.0000,0.0000,7.275E-1,9.0009,0.2405,0.6465,0.1047,0.1111,1.168E-1
Artalt_6,86,0.3456,0.4392,300,0.6947,9,0.1520,0.6790,0.1002,10078,3.9554,14.8335,4.4635,23.0667,2.1075,1.4909,0.0000,50.0824,8.5266,0.0000,3.1061,44.9472,1.4410,0.3643,0.0000,41.6148,0.3443,0.3014,0.3244,0.3363,0.3447,0.3333,0.3456,0.3409,0.1852,0.0593,0.0451,0.1959,0.0944,0.0158,0.0927,0.2398,0.1365,0.2168,0.3779,0.0929,0.1331,0.2556,0.1532,0.1530,-0.1989,-0.3138,-0.2530,0.4436,0.2533,0.0364,-0.2972,0.1869,0.6699,0.6913,0.7370,0.6573,0.6691,0.7047,0.6792,0.6767,0.5058,0.4480,0.4173,0.7400,0.6704,0.5539,0.4104,0.6668,8.8473,0.4200,1.0000,0.1176,0.9114,0.0233,0.1111,8.135E-1,5.0000,0.2228,0.7690,0.0698,0.1111,3.483E-1,10.0000,0.2924,0.6528,0.1395,0.1111,1.246E-1,0.2905,0.0710,0.9597,0.0000,0.0000,6.907E-1,6.9449,0.2512,0.7194,0.0930,0.1111,2.328E-1,33.6874,0.5091,0.3279,0.3256,0.4444,1.367E-1,32.3415,0.4964,0.3412,0.2907,0.4444,1.573E-1,23.2448,0.4188,0.4444,0.2442,0.4444,3.655E-1,52.2598,0.6676,0.1831,0.5814,0.4444,1.344E-2,0.2905,0.0710,0.9597,0.0000,0.0000,6.907E-1,8.2192,0.2685,0.6901,0.1395,0.1111,1.79E-1
Artalt_7,86,0.3706,0.4562,240,0.7114,9,0.0336,0.6450,0.0884,10076,1.9927,23.2990,3.2896,39.0952,4.7232,1.0736,0.0000,26.5267,0.0000,0.0000,0.3484,66.5395,2.6840,3.1466,0.0000,27.2816,0.3706,0.3008,0.3606,0.3554,0.3676,0.3614,0.3706,0.3626,0.1592,0.0891,0.0355,0.2179,0.1248,0.0090,0.0750,0.2224,0.0333,0.2664,0.1107,0.0440,0.0317,0.0636,0.0336,0.0522,0.0423,-0.5348,-0.1283,0.2268,-0.0524,0.0938,-0.0850,0.3634,0.6449,0.7165,0.6641,0.6443,0.6404,0.6521,0.6450,0.6507,0.5993,0.3650,0.3492,0.6843,0.4720,0.6582,0.4746,0.7484,8.8151,0.4043,1.0000,0.1161,0.9140,0.0233,0.0000,4.45E-1,5.0000,0.2012,0.7613,0.0581,0.1111,3.283E-1,10.0000,0.2730,0.6372,0.0930,0.1111,1.06E-1,0.2680,0.0702,0.9627,0.0000,0.0000,7.102E-1,10.5121,0.2792,0.6266,0.0930,0.1111,9.479E-2,31.7851,0.4906,0.3256,0.3256,0.3333,3.787E-2,41.5576,0.5835,0.2404,0.4070,0.5556,1.482E-1,31.0114,0.4835,0.3334,0.3256,0.3333,4.244E-2,32.8915,0.5017,0.3148,0.3488,0.3333,3.211E-2,0.2680,0.0702,0.9627,0.0000,0.0000,7.102E-1,8.5742,0.2528,0.6684,0.0930,0.1111,1.455E-1
Artalt_8,86,0.3771,0.4789,260,0.7423,9,-0.0183,0.6536,0.0931,10077,8.7312,16.7425,1.8005,32.1440,2.4136,3.3813,0.0000,34.7870,0.0000,1.3254,1.4305,62.1997,2.0762,7.2006,0.0000,25.7676,0.3770,0.3316,0.3710,0.3603,0.3756,0.3607,0.3772,0.3690,0.1932,0.0623,0.0225,0.2298,0.1109,0.0133,0.0972,0.2575,-0.0194,-0.0447,-0.0141,-0.0281,-0.0282,0.0883,-0.0181,-0.0052,-0.2879,-0.1932,0.0177,0.0872,0.0891,0.0280,-0.2144,0.0300,0.6538,0.6476,0.6512,0.6280,0.6428,0.6708,0.6534,0.6529,0.4778,0.4261,0.5301,0.6220,0.5632,0.6326,0.4107,0.6347,8.7002,0.3616,1.0000,0.0703,0.8539,0.0116,0.1111,6.131E-1,5.0000,0.1808,0.6749,0.0698,0.2222,3.977E-1,10.0000,0.2738,0.5589,0.1279,0.2222,1.624E-1,0.6683,0.0522,0.8854,0.0000,0.0000,3.343E-1,8.1866,0.2431,0.5949,0.0930,0.2222,2.224E-1,30.0652,0.4977,0.3056,0.3023,0.4444,1.059E-1,28.6769,0.4817,0.3180,0.2791,0.4444,1.223E-1,19.5935,0.3775,0.4152,0.2326,0.4444,2.991E-1,56.6370,0.7202,0.1362,0.6047,0.5556,2.448E-2,2.3278,0.1185,0.7735,0.0116,0.1111,3.604E-1,8.1541,0.2425,0.5957,0.0930,0.2222,2.238E-1
Artalt_9,86,0.3350,0.4302,320,0.7156,9,0.3771,0.7570,0.0621,10076,3.4697,15.5493,2.7020,32.5490,2.0818,1.0682,0.0000,42.5800,0.0000,0.0000,1.3845,58.8399,2.9532,0.0000,0.0000,36.8223,0.3350,0.2908,0.3250,0.3245,0.3320,0.3307,0.3350,0.3245,0.1789,0.0551,0.0303,0.2068,0.0829,0.0293,0.0816,0.2454,0.3800,0.3767,0.4347,0.3391,0.3630,0.3712,0.3796,0.4248,-0.1290,-0.1890,-0.0662,0.3317,0.3586,-0.1085,-0.1374,0.1451,0.7579,0.7489,0.7702,0.7375,0.7520,0.7493,0.7577,0.7645,0.5099,0.4492,0.4439,0.7377,0.7848,0.4215,0.4497,0.6598,8.8584,0.4221,1.0000,0.1256,0.9211,0.0233,0.0000,4.773E-1,5.0000,0.2001,0.7700,0.0581,0.0000,9.52E-2,10.0000,0.2819,0.6408,0.1047,0.1111,1.102E-1,0.2896,0.0799,0.9664,0.0000,0.0000,7.349E-1,9.3770,0.2710,0.6543,0.0930,0.1111,1.265E-1,32.7196,0.5158,0.3291,0.3256,0.1111,8.761E-4,26.7922,0.4586,0.3910,0.2442,0.1111,3.209E-3,35.7151,0.5435,0.3013,0.3837,0.3333,2.585E-2,33.2917,0.5202,0.3235,0.3488,0.1111,7.699E-4,0.2896,0.0799,0.9664,0.0000,0.0000,7.349E-1,7.5363,0.2389,0.6980,0.0930,0.0000,3.933E-2
Artalt (average),85.5000,0.3592,0.4546,272.0000,0.7138,9.5000,0.1139,0.6806,0.0761,10076.5000,2.9405,17.6191,2.4272,36.4112,3.9599,1.6829,0.0000,34.9593,1.9602,0.3020,1.2948,58.7717,2.4836,1.3904,0.0000,33.7973,0.3590,0.3075,0.3500,0.3459,0.3554,0.3494,0.3592,0.3521,0.1760,0.0689,0.0287,0.2170,0.1164,0.0144,0.0847,0.2374,0.1106,0.1941,0.1670,0.0928,0.1244,0.1576,0.1145,0.1285,-0.1182,-0.3422,-0.0537,0.2260,0.0338,0.0362,-0.1648,0.2038,0.6788,0.6988,0.6932,0.6673,0.6766,0.6897,0.6805,0.6849,0.5360,0.4102,0.4723,0.6876,0.5702,0.6004,0.4447,0.6952,8.7999,0.3996,1.0000,0.1127,0.9087,0.0211,0.0322,0.5230,5.0000,0.1978,0.7546,0.0655,0.0844,0.2491,10.0000,0.2727,0.6308,0.1076,0.1267,0.1452,0.3185,0.0698,0.9551,0.0000,0.0100,0.6951,9.4901,0.2649,0.6421,0.0935,0.1267,0.1571,31.7900,0.4915,0.3253,0.3240,0.3500,0.1078,31.9282,0.4904,0.3263,0.3101,0.3711,0.1115,29.1083,0.4623,0.3586,0.3136,0.3700,0.1661,36.8384,0.5279,0.3083,0.3988,0.2744,0.0123,0.4844,0.0765,0.9439,0.0012,0.0211,0.6977,8.7123,0.2528,0.6589,0.0982,0.1155,0.1700
