Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio1 contribution,bio15 contribution,bio16 contribution,bio17 contribution,bio18 contribution,bio19 contribution,bio2 contribution,bio3 contribution,bio1 permutation importance,bio15 permutation importance,bio16 permutation importance,bio17 permutation importance,bio18 permutation importance,bio19 permutation importance,bio2 permutation importance,bio3 permutation importance,Training gain without bio1,Training gain without bio15,Training gain without bio16,Training gain without bio17,Training gain without bio18,Training gain without bio19,Training gain without bio2,Training gain without bio3,Training gain with only bio1,Training gain with only bio15,Training gain with only bio16,Training gain with only bio17,Training gain with only bio18,Training gain with only bio19,Training gain with only bio2,Training gain with only bio3,Test gain without bio1,Test gain without bio15,Test gain without bio16,Test gain without bio17,Test gain without bio18,Test gain without bio19,Test gain without bio2,Test gain without bio3,Test gain with only bio1,Test gain with only bio15,Test gain with only bio16,Test gain with only bio17,Test gain with only bio18,Test gain with only bio19,Test gain with only bio2,Test gain with only bio3,AUC without bio1,AUC without bio15,AUC without bio16,AUC without bio17,AUC without bio18,AUC without bio19,AUC without bio2,AUC without bio3,AUC with only bio1,AUC with only bio15,AUC with only bio16,AUC with only bio17,AUC with only bio18,AUC with only bio19,AUC with only bio2,AUC with only bio3,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Arthir_0,27,3.7809,4.4171,500,0.9961,4,2.4046,0.9518,0.0370,10026,4.5308,0.7914,16.4383,0.4428,9.3954,3.2137,61.4881,3.6995,1.6754,0.1205,5.0496,0.2524,5.3509,6.6259,80.2589,0.6663,3.7024,3.7777,3.5870,3.7712,3.6569,3.6728,3.3558,3.7603,0.7452,0.2570,1.2809,0.2337,0.6514,0.2457,2.5643,1.4260,2.3162,2.3184,1.7958,2.3690,2.1488,2.5939,2.8901,2.5521,0.7592,0.8081,0.8597,0.7230,1.2659,0.5037,0.7679,1.3186,0.9483,0.9504,0.9302,0.9508,0.9381,0.9574,0.9617,0.9526,0.7769,0.8953,0.8378,0.8788,0.9216,0.8039,0.8880,0.9001,5.4313,0.0125,1.0000,0.0045,0.1076,0.0000,0.2500,4.583E-3,5.0000,0.0337,0.0400,0.0000,0.2500,2.482E-4,10.0000,0.1144,0.0217,0.0000,0.2500,4.045E-5,10.2861,0.1187,0.0211,0.0000,0.2500,3.722E-5,26.2746,0.4902,0.0095,0.0741,0.5000,5.319E-4,10.3420,0.1200,0.0211,0.0370,0.2500,3.722E-5,10.2861,0.1187,0.0211,0.0000,0.2500,3.722E-5,0.2802,0.0011,0.1760,0.0000,0.2500,1.894E-2,0.2801,0.0011,0.1760,0.0000,0.0000,9.604E-4,1.8041,0.0090,0.0798,0.0000,0.2500,1.91E-3,9.5034,0.1029,0.0227,0.0000,0.2500,4.624E-5
Arthir_1,28,3.5359,4.1418,500,0.9923,3,4.1763,0.9958,0.0013,10027,4.3091,1.5903,19.9296,0.4447,10.0984,3.0726,55.3452,5.2102,1.6636,1.8862,21.2235,0.3974,11.9135,6.9268,55.0068,0.9823,3.4711,3.5157,3.2737,3.5264,3.4194,3.4536,3.2381,3.5248,0.7207,0.2980,1.2846,0.2779,0.6765,0.2602,2.2879,1.3600,4.0265,4.1785,4.4277,4.1535,3.9749,4.1506,3.5990,4.1981,0.9302,0.6493,0.7620,0.5141,1.2734,0.4841,2.8663,1.7418,0.9951,0.9958,0.9972,0.9957,0.9948,0.9958,0.9919,0.9959,0.7540,0.8220,0.8512,0.8017,0.9217,0.7966,0.9828,0.9412,5.6777,0.0154,1.0000,0.0035,0.2113,0.0000,0.0000,9.438E-3,5.0000,0.0195,0.0793,0.0357,0.0000,4.984E-4,10.0000,0.0616,0.0371,0.0357,0.0000,5.106E-5,3.6814,0.0135,0.1024,0.0000,0.0000,1.074E-3,22.9224,0.3461,0.0132,0.0714,0.0000,2.281E-6,10.3326,0.0648,0.0357,0.0357,0.0000,4.551E-5,15.7267,0.1578,0.0214,0.0357,0.0000,9.858E-6,40.9999,0.7101,0.0063,0.2500,0.0000,2.48E-7,40.9999,0.7101,0.0063,0.2500,0.0000,2.48E-7,3.2438,0.0116,0.1127,0.0000,0.0000,1.431E-3,12.2062,0.0950,0.0291,0.0357,0.0000,2.47E-5
Arthir_2,28,3.5083,4.1242,500,0.9921,3,4.3021,0.9962,0.0017,10028,3.5991,1.9716,20.8762,0.5707,10.6358,3.6719,56.2202,2.4545,2.7342,1.9998,17.2055,0.3273,16.6587,7.7536,53.3210,0.0000,3.4361,3.4913,3.2511,3.4991,3.3760,3.4238,3.1733,3.4984,0.7073,0.2652,1.2849,0.2396,0.6558,0.2367,2.2829,1.3093,4.2560,4.2460,4.5221,4.3204,4.3006,4.3011,4.0615,4.3032,1.0018,0.8969,0.7379,0.8044,1.4206,0.6620,2.9115,2.1755,0.9964,0.9959,0.9979,0.9963,0.9963,0.9962,0.9958,0.9964,0.8563,0.9251,0.8386,0.9018,0.9446,0.8920,0.9835,0.9842,5.7048,0.0158,1.0000,0.0036,0.2121,0.0000,0.0000,9.542E-3,5.0000,0.0207,0.0791,0.0357,0.0000,4.945E-4,10.0000,0.0626,0.0374,0.0357,0.0000,5.229E-5,3.4124,0.0131,0.1079,0.0000,0.0000,1.256E-3,23.0030,0.3361,0.0135,0.0714,0.0000,2.44E-6,10.3849,0.0691,0.0357,0.0357,0.0000,4.55E-5,16.8933,0.1820,0.0196,0.0357,0.0000,7.582E-6,35.3936,0.6501,0.0080,0.1786,0.0000,5.077E-7,35.3936,0.6501,0.0080,0.1786,0.0000,5.077E-7,3.1487,0.0119,0.1143,0.0000,0.0000,1.492E-3,11.9702,0.0902,0.0299,0.0357,0.0000,2.677E-5
Arthir_3,28,3.7029,4.2761,500,0.9931,3,2.3262,0.9792,0.0094,10027,5.4350,1.7684,15.4426,0.6158,12.5883,2.2578,59.3847,2.5074,1.9414,0.0000,8.9350,0.2124,11.6298,4.9671,70.9831,1.3312,3.6016,3.6983,3.5296,3.6950,3.5951,3.6607,3.3337,3.6854,0.8134,0.4276,1.1910,0.3761,0.8582,0.3500,2.4039,1.4791,2.7197,2.2455,1.8085,2.3568,1.9430,2.0311,2.3252,2.4528,0.0490,-0.5227,1.6530,-0.4547,-0.3684,-0.4175,1.7800,0.7146,0.9754,0.9776,0.9637,0.9801,0.9698,0.9738,0.9731,0.9824,0.8081,0.4835,0.9265,0.4214,0.6218,0.5139,0.9497,0.8505,5.5134,0.0131,1.0000,0.0031,0.1786,0.0000,0.0000,5.699E-3,5.0000,0.0204,0.0613,0.0357,0.0000,2.307E-4,10.0000,0.0736,0.0298,0.0357,0.3333,2.615E-3,2.8936,0.0099,0.0979,0.0000,0.0000,9.393E-4,23.8395,0.3987,0.0104,0.0714,0.3333,3.205E-4,8.4747,0.0527,0.0357,0.0357,0.3333,3.733E-3,20.1593,0.2760,0.0126,0.0357,0.3333,4.697E-4,7.0011,0.0375,0.0437,0.0357,0.0000,8.335E-5,7.0011,0.0375,0.0437,0.0357,0.0000,8.335E-5,2.8936,0.0099,0.0979,0.0000,0.0000,9.393E-4,11.8762,0.0977,0.0246,0.0357,0.3333,1.791E-3
Arthir_4,28,3.5781,4.1613,500,0.9927,3,3.9877,0.9935,0.0037,10027,2.5886,2.5972,15.3892,0.3941,13.2086,3.1213,60.3710,2.3301,2.9232,2.0420,13.6446,0.2075,16.7041,10.2161,54.2625,0.0000,3.5206,3.5595,3.3743,3.5697,3.4478,3.5087,3.2674,3.5682,0.7183,0.3919,1.1934,0.3613,0.8299,0.3136,2.2891,1.4143,3.7983,3.9747,3.4761,3.9869,3.8262,3.7875,3.4879,4.0000,0.9605,-0.1988,1.5999,-0.2297,-0.0975,-0.0688,2.8476,1.2214,0.9916,0.9934,0.9905,0.9935,0.9927,0.9925,0.9905,0.9935,0.8751,0.5634,0.9294,0.4960,0.6719,0.5874,0.9815,0.8982,5.6323,0.0146,1.0000,0.0036,0.2087,0.0000,0.0000,9.095E-3,5.0000,0.0190,0.0788,0.0357,0.0000,4.891E-4,10.0000,0.0573,0.0354,0.0357,0.0000,4.438E-5,4.2876,0.0157,0.0904,0.0000,0.0000,7.377E-4,25.1878,0.3905,0.0111,0.0714,0.3333,3.649E-4,9.9442,0.0566,0.0357,0.0357,0.0000,4.551E-5,12.7031,0.1034,0.0259,0.0357,0.0000,1.743E-5,19.5054,0.2382,0.0152,0.0714,0.0000,3.484E-6,19.5054,0.2382,0.0152,0.0714,0.0000,3.484E-6,3.2225,0.0111,0.1126,0.0000,0.0000,1.427E-3,12.0169,0.0861,0.0278,0.0357,0.0000,2.154E-5
Arthir_5,28,3.5340,4.1136,500,0.9924,3,4.2972,0.9960,0.0016,10027,4.0394,2.6502,18.4213,0.5617,9.9303,2.4025,59.7517,2.2429,2.7932,1.6035,14.9252,0.3582,13.2915,7.2191,59.8093,0.0000,3.4626,3.5186,3.2917,3.5251,3.4173,3.4723,3.1827,3.5269,0.6946,0.3255,1.2478,0.2892,0.7295,0.2688,2.3149,1.3336,4.2487,4.2455,4.2280,4.2943,4.0157,4.0304,4.2143,4.2609,1.1876,0.4098,1.1347,0.4046,0.8057,0.4130,2.6259,1.9640,0.9959,0.9958,0.9960,0.9959,0.9949,0.9945,0.9965,0.9956,0.9048,0.7495,0.8849,0.6798,0.8397,0.7537,0.9767,0.9646,5.6797,0.0154,1.0000,0.0036,0.2085,0.0000,0.0000,9.069E-3,5.0000,0.0205,0.0792,0.0357,0.0000,4.965E-4,10.0000,0.0621,0.0380,0.0357,0.0000,5.486E-5,3.9722,0.0152,0.0960,0.0000,0.0000,8.859E-4,25.4805,0.3941,0.0117,0.0714,0.0000,1.589E-6,10.5464,0.0673,0.0357,0.0357,0.0000,4.551E-5,15.1530,0.1382,0.0228,0.0357,0.0000,1.191E-5,38.6856,0.6872,0.0068,0.1786,0.0000,3.119E-7,38.6856,0.6872,0.0068,0.1786,0.0000,3.119E-7,3.1022,0.0116,0.1151,0.0000,0.0000,1.524E-3,12.4833,0.1003,0.0291,0.0357,0.0000,2.47E-5
Arthir_6,28,3.5076,4.1283,500,0.9923,3,4.4670,0.9972,0.0008,10027,2.8397,2.5402,19.4493,0.6984,10.0319,3.0660,56.2473,5.1272,2.5485,2.2334,15.7050,0.3722,14.7233,11.4539,52.9638,0.0000,3.4446,3.4901,3.2628,3.4988,3.3741,3.4286,3.1806,3.5010,0.6249,0.2862,1.2358,0.2477,0.6967,0.2382,2.2698,1.3166,4.3521,4.4210,4.5476,4.4892,4.4250,4.4008,4.1615,4.4253,1.7603,0.7485,1.2201,0.7325,1.0724,0.6540,3.0546,2.1544,0.9967,0.9970,0.9978,0.9974,0.9975,0.9972,0.9963,0.9969,0.9745,0.8712,0.9118,0.8790,0.8975,0.8901,0.9878,0.9766,5.7058,0.0158,1.0000,0.0037,0.2100,0.0000,0.0000,9.265E-3,5.0000,0.0206,0.0793,0.0357,0.0000,4.984E-4,10.0000,0.0617,0.0370,0.0357,0.0000,5.065E-5,3.6529,0.0141,0.1027,0.0000,0.0000,1.084E-3,23.7082,0.3601,0.0130,0.0714,0.0000,2.179E-6,10.2981,0.0664,0.0357,0.0357,0.0000,4.551E-5,16.7991,0.1875,0.0196,0.0357,0.0000,7.584E-6,56.3535,0.8794,0.0037,0.4286,0.0000,5.024E-8,56.3535,0.8794,0.0037,0.4286,0.0000,5.024E-8,3.1547,0.0119,0.1141,0.0000,0.0000,1.485E-3,11.8650,0.0896,0.0299,0.0357,0.0000,2.678E-5
Arthir_7,28,3.5031,4.1196,500,0.9922,3,4.6190,0.9978,0.0012,10027,4.1846,2.7537,16.7439,0.6060,10.0065,3.8077,59.6358,2.2618,2.4694,2.4326,14.4439,0.3935,14.1793,13.1873,52.8940,0.0000,3.4298,3.4804,3.2813,3.4969,3.3707,3.4221,3.1632,3.4955,0.6907,0.2968,1.1700,0.2573,0.6654,0.2483,2.2806,1.3336,4.5922,4.6116,4.2707,4.6016,4.5435,4.5866,4.3717,4.6003,1.2200,0.6477,1.8363,0.6773,1.3330,0.5740,2.9466,1.9640,0.9975,0.9979,0.9967,0.9977,0.9979,0.9977,0.9966,0.9977,0.8873,0.8390,0.9634,0.8594,0.9318,0.8431,0.9850,0.9646,5.7104,0.0159,1.0000,0.0037,0.2131,0.0000,0.0000,9.681E-3,5.0000,0.0204,0.0822,0.0357,0.0000,5.55E-4,10.0000,0.0596,0.0388,0.0357,0.0000,5.839E-5,3.6736,0.0134,0.1056,0.0000,0.0000,1.178E-3,24.7290,0.3906,0.0125,0.0714,0.0000,1.937E-6,10.7058,0.0708,0.0357,0.0357,0.0000,4.551E-5,16.4724,0.1688,0.0207,0.0357,0.0000,8.926E-6,47.9821,0.7819,0.0050,0.2500,0.0000,1.24E-7,47.9821,0.7819,0.0050,0.2500,0.0000,1.24E-7,3.3144,0.0120,0.1142,0.0000,0.0000,1.489E-3,12.2753,0.0948,0.0301,0.0357,0.0000,2.732E-5
Arthir_8,28,3.5808,4.1765,500,0.9925,3,3.5839,0.9930,0.0016,10027,2.9172,2.1536,15.7655,0.3291,12.2456,3.2686,60.4393,2.8812,1.9126,1.6813,15.3336,0.2438,16.1680,11.1230,53.5378,0.0000,3.5150,3.5599,3.3557,3.5723,3.4602,3.5102,3.2938,3.5626,0.6882,0.4001,1.1728,0.3759,0.8345,0.3156,2.2558,1.4767,3.4410,3.6352,3.4653,3.5865,3.4635,3.5058,2.8337,3.6695,1.1632,-0.3171,1.8000,-0.4201,-0.1927,-0.0760,3.1484,0.7072,0.9923,0.9929,0.9920,0.9930,0.9916,0.9924,0.9875,0.9935,0.9238,0.5622,0.9535,0.4822,0.7041,0.5810,0.9936,0.8490,5.6332,0.0146,1.0000,0.0036,0.2041,0.0000,0.0000,8.508E-3,5.0000,0.0197,0.0768,0.0357,0.0000,4.529E-4,10.0000,0.0600,0.0362,0.0357,0.0000,4.745E-5,3.7057,0.0135,0.0987,0.0000,0.0000,9.625E-4,21.5679,0.2982,0.0140,0.0714,0.0000,2.722E-6,10.1204,0.0621,0.0357,0.0357,0.0000,4.551E-5,14.0675,0.1287,0.0235,0.0357,0.0000,1.304E-5,27.5411,0.4368,0.0103,0.1071,0.0000,1.084E-6,27.5411,0.4368,0.0103,0.1071,0.0000,1.084E-6,3.1465,0.0111,0.1115,0.0000,0.0000,1.386E-3,12.3006,0.0937,0.0278,0.0357,0.0000,2.154E-5
Arthir_9,28,3.5075,4.1196,500,0.9922,3,4.3574,0.9967,0.0013,10027,3.1653,2.9155,16.8372,0.5069,9.5706,3.7323,58.3886,4.8836,2.6797,3.0256,15.6743,0.3226,14.0409,11.8960,52.3610,0.0000,3.4450,3.4853,3.2880,3.5006,3.3978,3.4216,3.1945,3.4973,0.7995,0.3100,1.1998,0.2621,0.6694,0.2466,2.3005,1.3336,4.2117,4.4079,4.0901,4.3370,4.1602,4.4021,3.8913,4.3493,0.1259,0.5311,1.5797,0.5996,1.2458,0.5893,2.7453,1.9640,0.9961,0.9966,0.9950,0.9964,0.9958,0.9973,0.9940,0.9967,0.5589,0.8083,0.9257,0.8311,0.9245,0.8475,0.9790,0.9646,5.7046,0.0158,1.0000,0.0038,0.2038,0.0000,0.0000,8.471E-3,5.0000,0.0212,0.0777,0.0357,0.0000,4.689E-4,10.0000,0.0649,0.0373,0.0357,0.0000,5.189E-5,3.5023,0.0134,0.1044,0.0000,0.0000,1.138E-3,24.2780,0.3784,0.0127,0.0714,0.0000,2.032E-6,10.3785,0.0703,0.0357,0.0357,0.0000,4.551E-5,15.5130,0.1574,0.0222,0.0357,0.0000,1.1E-5,45.9693,0.7459,0.0054,0.2143,0.0000,1.562E-7,45.9693,0.7459,0.0054,0.2143,0.0000,1.562E-7,3.2040,0.0119,0.1114,0.0000,0.0000,1.382E-3,12.0577,0.0987,0.0299,0.0357,0.0000,2.678E-5
Arthir (average),27.9000,3.5739,4.1778,500.0000,0.9928,3.1000,3.8521,0.9897,0.0060,10027.0000,3.7609,2.1732,17.5293,0.5170,10.7711,3.1614,58.7272,3.3598,2.3341,1.7025,14.2140,0.3087,13.4660,9.1369,58.5398,0.2980,3.5029,3.5577,3.3495,3.5655,3.4515,3.4974,3.2383,3.5620,0.7203,0.3258,1.2261,0.2921,0.7267,0.2724,2.3250,1.3783,3.7962,3.8284,3.6632,3.8495,3.6801,3.7790,3.5836,3.8812,0.9158,0.3653,1.3183,0.3351,0.7758,0.3318,2.5694,1.5925,0.9885,0.9893,0.9857,0.9897,0.9869,0.9895,0.9884,0.9901,0.8320,0.7519,0.9023,0.7231,0.8379,0.7509,0.9708,0.9294,5.6393,0.0149,1.0000,0.0037,0.1958,0.0000,0.0250,0.0083,5.0000,0.0216,0.0734,0.0321,0.0250,0.0004,10.0000,0.0678,0.0349,0.0321,0.0583,0.0003,4.3068,0.0240,0.0927,0.0000,0.0250,0.0009,24.0991,0.3783,0.0122,0.0717,0.1167,0.0001,10.1528,0.0700,0.0342,0.0358,0.0583,0.0004,15.3773,0.1618,0.0209,0.0321,0.0583,0.0001,31.9712,0.5168,0.0280,0.1714,0.0250,0.0019,31.9712,0.5168,0.0280,0.1714,0.0000,0.0001,3.0234,0.0112,0.1084,0.0000,0.0250,0.0014,11.8555,0.0949,0.0281,0.0321,0.0583,0.0002
