Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio1 contribution,bio14 contribution,bio15 contribution,bio16 contribution,bio17 contribution,bio18 contribution,bio19 contribution,bio1 permutation importance,bio14 permutation importance,bio15 permutation importance,bio16 permutation importance,bio17 permutation importance,bio18 permutation importance,bio19 permutation importance,Training gain without bio1,Training gain without bio14,Training gain without bio15,Training gain without bio16,Training gain without bio17,Training gain without bio18,Training gain without bio19,Training gain with only bio1,Training gain with only bio14,Training gain with only bio15,Training gain with only bio16,Training gain with only bio17,Training gain with only bio18,Training gain with only bio19,Test gain without bio1,Test gain without bio14,Test gain without bio15,Test gain without bio16,Test gain without bio17,Test gain without bio18,Test gain without bio19,Test gain with only bio1,Test gain with only bio14,Test gain with only bio15,Test gain with only bio16,Test gain with only bio17,Test gain with only bio18,Test gain with only bio19,AUC without bio1,AUC without bio14,AUC without bio15,AUC without bio16,AUC without bio17,AUC without bio18,AUC without bio19,AUC with only bio1,AUC with only bio14,AUC with only bio15,AUC with only bio16,AUC with only bio17,AUC with only bio18,AUC with only bio19,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Arthir_0,27,3.1707,3.7012,300,0.9850,4,3.9805,0.9948,0.0023,10025,19.3790,3.9558,11.5748,40.0611,6.4258,10.8630,7.7406,3.8618,11.7926,18.7243,56.7264,1.6635,6.6541,0.5773,3.1096,3.1276,3.0008,1.8274,3.0806,2.7060,3.0297,0.6103,0.0756,0.2340,1.0978,0.5381,0.0898,0.8384,4.1336,4.0163,3.6847,2.4513,3.9996,3.4345,3.7401,0.4836,0.0996,0.1244,1.5833,0.5883,0.2594,1.4565,0.9959,0.9953,0.9928,0.9677,0.9950,0.9882,0.9938,0.7813,0.6458,0.6739,0.9583,0.8107,0.7511,0.9310,6.0393,0.0207,1.0000,0.0043,0.4499,0.0000,0.0000,4.096E-2,5.0000,0.0123,0.2361,0.0370,0.0000,3.108E-3,10.0000,0.0264,0.1183,0.0370,0.0000,1.959E-4,4.6409,0.0115,0.2487,0.0000,0.0000,3.824E-3,24.6485,0.2236,0.0167,0.0741,0.0000,7.701E-8,18.5844,0.0778,0.0370,0.0370,0.0000,1.876E-6,19.6113,0.0884,0.0320,0.0370,0.0000,1.051E-6,28.4161,0.4161,0.0125,0.1852,0.0000,2.417E-8,28.4161,0.4161,0.0125,0.1852,0.0000,2.417E-8,4.6409,0.0115,0.2487,0.0000,0.0000,3.824E-3,17.7167,0.0691,0.0418,0.0370,0.0000,3.052E-6
Arthir_1,28,3.2311,3.7653,220,0.9863,3,4.2748,0.9963,0.0017,10025,15.3153,4.9758,11.4043,42.4122,4.2729,13.0206,8.5988,3.0850,1.2128,13.9737,73.0553,1.3358,7.3373,0.0000,3.2024,3.2077,3.0252,1.7587,3.1611,2.7197,3.0812,0.5366,0.0646,0.1786,1.2366,0.4865,0.0950,0.8725,4.1807,4.1606,4.1892,3.8745,4.1350,4.1039,3.9369,1.0748,0.2045,0.6226,0.6134,1.2430,0.3151,1.6808,0.9958,0.9959,0.9962,0.9957,0.9954,0.9963,0.9949,0.9500,0.7217,0.8715,0.8625,0.9211,0.7947,0.9421,5.9807,0.0194,1.0000,0.0038,0.4453,0.0000,0.0000,8.829E-2,5.0000,0.0118,0.2243,0.0357,0.0000,1.129E-2,10.0000,0.0262,0.1113,0.0357,0.0000,1.38E-3,4.9354,0.0117,0.2265,0.0000,0.0000,1.163E-2,23.1201,0.1952,0.0172,0.0714,0.0000,5.05E-6,17.9665,0.0709,0.0357,0.0357,0.0000,4.554E-5,18.8086,0.0786,0.0314,0.0357,0.0000,3.102E-5,35.5755,0.6772,0.0077,0.2500,0.0000,4.531E-7,35.5755,0.6772,0.0077,0.2500,0.0000,4.531E-7,4.9354,0.0117,0.2265,0.0000,0.0000,1.163E-2,17.3029,0.0656,0.0394,0.0357,0.0000,6.117E-5
Arthir_2,28,3.2697,3.8163,220,0.9870,3,4.2632,0.9959,0.0015,10025,15.6942,3.6243,11.0212,42.5511,3.3825,11.9349,11.7917,2.3621,1.2157,13.0013,74.0839,0.8170,8.5200,0.0000,3.2502,3.2402,3.0434,1.8994,3.2237,2.7871,3.1184,0.5515,0.0618,0.2231,1.2181,0.5197,0.1152,0.9874,4.1800,4.2102,4.0943,2.4135,4.0625,3.5090,4.0493,0.9542,0.2185,0.2541,1.0878,0.8981,0.1499,0.5610,0.9957,0.9957,0.9954,0.9445,0.9948,0.9925,0.9954,0.9093,0.7360,0.6731,0.8721,0.8034,0.6447,0.7857,5.9440,0.0187,1.0000,0.0035,0.4294,0.0000,0.0000,7.919E-2,5.0000,0.0118,0.2082,0.0000,0.0000,9.022E-3,10.0000,0.0267,0.1007,0.0357,0.0000,1.023E-3,5.3288,0.0126,0.1980,0.0000,0.0000,7.763E-3,21.4015,0.1523,0.0185,0.0714,0.0000,6.284E-6,15.8209,0.0576,0.0426,0.0357,0.0000,7.727E-5,15.8209,0.0576,0.0426,0.0357,0.0000,7.727E-5,36.7443,0.7511,0.0072,0.2500,0.0000,3.705E-7,36.7443,0.7511,0.0072,0.2500,0.0000,3.705E-7,5.3288,0.0126,0.1980,0.0000,0.0000,7.763E-3,16.5656,0.0615,0.0380,0.0714,0.0000,5.489E-5
Arthir_3,28,3.2727,3.7801,240,0.9859,3,3.6689,0.9943,0.0009,10026,20.4353,5.8888,15.4509,35.0876,6.6451,11.3069,5.1853,5.6492,1.0896,19.2226,63.8361,1.8190,6.9523,1.4313,3.2270,3.2390,3.0723,2.0282,3.1855,2.8041,3.1224,0.6495,0.1082,0.3064,1.0345,0.6795,0.1191,0.8920,3.8013,3.6487,3.4756,0.9854,3.8213,3.0539,3.4596,0.0372,-0.2194,-0.6022,2.5536,-0.6446,0.1116,1.4510,0.9947,0.9942,0.9936,0.9395,0.9943,0.9894,0.9927,0.6115,0.3948,0.3828,0.9892,0.5977,0.6225,0.9287,5.9404,0.0187,1.0000,0.0037,0.4351,0.0000,0.0000,8.235E-2,5.0000,0.0115,0.2197,0.0357,0.0000,1.061E-2,10.0000,0.0255,0.1078,0.0357,0.0000,1.253E-3,4.7015,0.0109,0.2297,0.0000,0.0000,1.212E-2,23.6595,0.2149,0.0158,0.0714,0.0000,3.914E-6,16.9874,0.0633,0.0397,0.0357,0.0000,6.256E-5,16.9874,0.0633,0.0397,0.0357,0.0000,6.256E-5,36.4643,0.6412,0.0072,0.2857,0.0000,3.704E-7,36.4643,0.6412,0.0072,0.2857,0.0000,3.704E-7,4.7015,0.0109,0.2297,0.0000,0.0000,1.212E-2,17.3028,0.0654,0.0379,0.0714,0.0000,5.445E-5
Arthir_4,28,3.4930,4.0457,240,0.9939,3,1.2189,0.8319,0.1311,10025,17.2499,5.8413,9.0035,38.4578,5.9787,13.5897,9.8791,3.9821,1.0679,5.4990,70.9131,2.5487,15.2137,0.7755,3.4663,3.4637,3.3400,2.1196,3.3816,2.9325,3.3174,0.5708,0.1082,0.1995,1.1993,0.5892,0.2183,1.0105,1.0876,1.2141,0.7181,0.0939,1.6070,1.9782,1.1330,0.7969,-0.2194,0.4292,0.9403,0.2384,-1.0728,0.4518,0.8306,0.8323,0.7759,0.7783,0.8984,0.9111,0.8396,0.8457,0.3948,0.8032,0.9000,0.6361,0.5227,0.6713,5.7195,0.0150,1.0000,0.0028,0.4124,0.0000,0.3333,3.699E-1,5.0000,0.0090,0.1777,0.0000,0.3333,8.347E-2,10.0000,0.0244,0.0718,0.0000,0.3333,1.473E-2,12.0993,0.0344,0.0502,0.0000,0.3333,7.3E-3,22.3602,0.2589,0.0127,0.0714,0.3333,4.774E-4,14.0622,0.0470,0.0357,0.0357,0.3333,3.735E-3,12.0993,0.0344,0.0502,0.0000,0.3333,7.3E-3,1.8855,0.0041,0.3334,0.0000,0.3333,2.593E-1,26.3522,0.4216,0.0095,0.1429,0.3333,2.677E-4,6.5541,0.0121,0.1325,0.0000,0.3333,4.799E-2,15.0036,0.0559,0.0303,0.0357,0.3333,2.703E-3
Arthir_5,28,3.2960,3.8384,280,0.9874,3,3.6443,0.9921,0.0050,10025,16.6477,5.0565,8.6686,42.6412,3.5873,8.8732,14.5255,0.9925,1.8270,9.7464,79.3575,1.4909,6.5858,0.0000,3.2579,3.2520,3.1305,1.8540,3.2080,2.8514,3.1494,0.5922,0.0380,0.1681,1.2916,0.4539,0.0966,0.8992,3.6820,3.7352,3.0950,2.6802,3.7350,2.6997,3.3448,0.6146,0.3753,0.7099,0.1487,1.4123,0.3043,1.2906,0.9923,0.9924,0.9785,0.9740,0.9934,0.9608,0.9896,0.7745,0.9192,0.9033,0.7565,0.9524,0.7810,0.9141,5.9179,0.0183,1.0000,0.0035,0.4303,0.0000,0.0000,7.969E-2,5.0000,0.0111,0.2041,0.0357,0.0000,8.501E-3,10.0000,0.0256,0.0930,0.0357,0.0000,8.035E-4,4.9227,0.0109,0.2067,0.0000,0.0000,8.829E-3,22.5338,0.2804,0.0149,0.0714,0.3333,6.561E-4,16.0065,0.0600,0.0357,0.0357,0.0000,4.554E-5,17.8857,0.0801,0.0258,0.0357,0.0000,1.724E-5,19.6272,0.1329,0.0200,0.0714,0.0000,7.94E-6,19.6272,0.1329,0.0200,0.0714,0.0000,7.94E-6,4.9227,0.0109,0.2067,0.0000,0.0000,8.829E-3,15.7920,0.0589,0.0370,0.0357,0.0000,5.068E-5
Arthir_6,28,3.2679,3.7704,320,0.9858,3,3.6498,0.9941,0.0012,10026,21.9299,5.3701,11.8262,34.4619,7.5993,10.4906,8.3219,12.5556,0.9717,15.5508,62.0621,1.6566,6.5545,0.6487,3.2106,3.2310,3.0930,2.0186,3.1830,2.8296,3.1049,0.6844,0.1082,0.2796,1.0616,0.6188,0.1084,0.8804,3.9283,3.6772,3.2431,1.1462,3.7733,2.7702,3.5265,-0.3068,-0.2194,-0.3200,2.2773,-0.0753,0.2064,1.6024,0.9954,0.9942,0.9914,0.9301,0.9941,0.9861,0.9928,0.5715,0.3948,0.4784,0.9817,0.7179,0.6946,0.9382,5.9448,0.0188,1.0000,0.0039,0.4333,0.0000,0.0000,8.134E-2,5.0000,0.0115,0.2205,0.0357,0.0000,1.072E-2,10.0000,0.0254,0.1071,0.0357,0.0000,1.229E-3,4.6071,0.0107,0.2340,0.0000,0.0000,1.281E-2,23.3508,0.2065,0.0167,0.0714,0.0000,4.621E-6,17.5741,0.0706,0.0363,0.0357,0.0000,4.785E-5,17.5741,0.0706,0.0363,0.0357,0.0000,4.785E-5,35.9840,0.6271,0.0074,0.2500,0.0000,4.021E-7,35.9840,0.6271,0.0074,0.2500,0.0000,4.021E-7,4.6071,0.0107,0.2340,0.0000,0.0000,1.281E-2,17.2562,0.0674,0.0380,0.0357,0.0000,5.488E-5
Arthir_7,28,3.2642,3.8011,300,0.9866,3,4.1079,0.9941,0.0040,10025,16.9663,3.2469,12.1249,42.6763,5.0334,10.6957,9.2565,5.6741,1.9571,7.4448,75.4884,2.0586,6.5312,0.8458,3.2215,3.2238,3.0913,1.8553,3.1778,2.8204,3.0833,0.5898,0.0375,0.1737,1.2332,0.4601,0.0970,0.9053,4.1612,4.1487,3.7512,3.0186,4.0794,3.2620,3.9476,0.6319,0.3917,0.6607,0.6307,1.4307,0.3017,1.4827,0.9947,0.9949,0.9888,0.9570,0.9950,0.9732,0.9944,0.7783,0.9095,0.9023,0.8846,0.9546,0.7776,0.9262,5.9476,0.0188,1.0000,0.0037,0.4356,0.0000,0.0000,8.266E-2,5.0000,0.0114,0.2142,0.0357,0.0000,9.823E-3,10.0000,0.0258,0.1014,0.0357,0.0000,1.044E-3,4.7680,0.0108,0.2220,0.0000,0.0000,1.095E-2,21.6422,0.1705,0.0180,0.0714,0.0000,5.788E-6,17.0631,0.0677,0.0357,0.0357,0.0000,4.554E-5,18.1451,0.0753,0.0300,0.0357,0.0000,2.707E-5,23.0481,0.2307,0.0157,0.1071,0.0000,3.841E-6,23.0481,0.2307,0.0157,0.1071,0.0000,3.841E-6,4.7680,0.0108,0.2220,0.0000,0.0000,1.095E-2,16.6364,0.0640,0.0381,0.0357,0.0000,5.533E-5
Arthir_8,28,3.4838,4.0321,240,0.9870,3,1.8375,0.9689,0.0171,10025,18.5071,6.6977,13.5756,36.1337,6.1023,12.4851,6.4985,3.5577,0.5109,22.1477,64.9913,0.6938,6.9427,1.1559,3.4563,3.4531,3.2279,2.1316,3.4281,2.9681,3.2674,0.6053,0.0916,0.3103,1.0825,0.6461,0.1109,1.0919,1.7605,1.7872,2.2506,0.4406,1.5680,1.8052,2.1741,0.4740,-0.0534,-0.6183,2.1102,-0.3126,0.2361,-0.1107,0.9618,0.9639,0.9817,0.7935,0.9474,0.9665,0.9736,0.7503,0.5524,0.3888,0.9738,0.5107,0.7051,0.6370,5.7290,0.0151,1.0000,0.0026,0.3867,0.0000,0.0000,5.784E-2,5.0000,0.0104,0.1659,0.0357,0.0000,4.565E-3,10.0000,0.0264,0.0753,0.0357,0.0000,4.272E-4,2.8066,0.0060,0.2505,0.0000,0.0000,1.571E-2,22.0846,0.2312,0.0132,0.0714,0.6667,3.898E-2,14.8386,0.0535,0.0357,0.0357,0.3333,3.735E-3,21.6689,0.2124,0.0137,0.0357,0.6667,4.044E-2,10.2255,0.0274,0.0727,0.0357,0.0000,3.845E-4,10.2255,0.0274,0.0727,0.0357,0.0000,3.845E-4,2.8066,0.0060,0.2505,0.0000,0.0000,1.571E-2,15.8260,0.0635,0.0306,0.0357,0.3333,2.756E-3
Arthir_9,28,3.1697,3.7048,360,0.9861,3,4.8426,0.9987,0.0003,10025,14.7072,3.8383,9.8079,42.1687,2.9664,11.6395,14.8721,3.4664,1.8709,8.8301,75.7788,1.4807,7.5295,1.0435,3.1358,3.1305,2.9562,1.7105,3.0993,2.6743,3.0324,0.5335,0.0257,0.1711,1.2183,0.4299,0.0891,0.8708,4.7975,4.9281,4.8104,4.0409,4.6854,4.3055,4.4002,1.0986,0.4251,0.6810,0.7531,1.6872,0.3602,1.5276,0.9985,0.9988,0.9988,0.9988,0.9981,0.9977,0.9972,0.9583,0.9495,0.9155,0.9118,0.9788,0.8396,0.9299,6.0429,0.0207,1.0000,0.0040,0.4476,0.0000,0.0000,8.966E-2,5.0000,0.0125,0.2294,0.0000,0.0000,1.208E-2,10.0000,0.0272,0.1147,0.0357,0.0000,1.51E-3,5.2049,0.0129,0.2226,0.0000,0.0000,1.104E-2,23.2519,0.1935,0.0178,0.0714,0.0000,5.598E-6,18.4283,0.0769,0.0357,0.0357,0.0000,4.554E-5,19.0323,0.0803,0.0325,0.0357,0.0000,3.439E-5,73.5429,0.9924,0.0018,0.7857,0.0000,5.788E-9,73.5429,0.9924,0.0018,0.7857,0.0000,5.788E-9,5.2049,0.0129,0.2226,0.0000,0.0000,1.104E-2,17.3142,0.0665,0.0420,0.0357,0.0000,7.406E-5
Arthir (average),27.9000,3.2919,3.8255,272.0000,0.9871,3.1000,3.5488,0.9761,0.0165,10025.2000,17.6832,4.8495,11.4458,39.6652,5.1994,11.4899,9.6670,4.5187,2.3516,13.4141,69.6293,1.5565,7.8821,0.6478,3.2538,3.2569,3.0981,1.9203,3.2129,2.8093,3.1307,0.5924,0.0719,0.2244,1.1673,0.5422,0.1139,0.9248,3.5713,3.5526,3.3312,2.1145,3.5466,3.0922,3.3712,0.5859,0.1003,0.1941,1.2698,0.6466,0.1172,1.1394,0.9755,0.9758,0.9693,0.9279,0.9806,0.9762,0.9764,0.7931,0.6619,0.6993,0.9091,0.7883,0.7134,0.8604,5.9206,0.0184,1.0000,0.0036,0.4306,0.0000,0.0333,0.1052,5.0000,0.0113,0.2100,0.0251,0.0333,0.0163,10.0000,0.0260,0.1001,0.0323,0.0333,0.0024,5.4015,0.0132,0.2089,0.0000,0.0333,0.0102,22.8053,0.2127,0.0162,0.0717,0.1333,0.0040,16.7332,0.0645,0.0370,0.0358,0.0667,0.0008,17.7634,0.0841,0.0334,0.0323,0.1000,0.0048,30.1513,0.4500,0.0486,0.2221,0.0333,0.0260,32.5980,0.4918,0.0162,0.2364,0.0333,0.0001,4.8470,0.0110,0.2171,0.0000,0.0333,0.0143,16.6716,0.0638,0.0373,0.0430,0.0667,0.0006
